definition1,sensekey1,relation,sensekey2,definition2
spread or diffuse through,permeate%2:35:01::,event,permeation%1:22:00::,the process of permeating or infusing something with a substance
penetrate mutually or be interlocked,permeate%2:35:02::,event,permeation%1:04:00::,mutual penetration; diffusion of each through the other
penetrate mutually or be interlocked,permeate%2:35:02::,event,permeation%1:22:00::,the process of permeating or infusing something with a substance
"consent to, give permission; permit",permit%2:32:00::,event,permission%1:04:00::,the act of giving a formal (usually written) authorization
"consent to, give permission; permit",permit%2:32:00::,event,permit%1:04:00::,the act of giving a formal (usually written) authorization
"consent to, give permission; permit",permit%2:32:00::,by means of,permit%1:10:02::,a legal document giving official permission to do something
allow the presence of or allow (an activity) without opposing or prohibiting,permit%2:32:06::,event,permit%1:04:00::,the act of giving a formal (usually written) authorization
allow the presence of or allow (an activity) without opposing or prohibiting,permit%2:32:06::,by means of,permit%1:10:02::,a legal document giving official permission to do something
change the order or arrangement of,permute%2:30:00::,event,permutation%1:04:01::,the act of changing the arrangement of a given number of elements
change the order or arrangement of,permute%2:30:00::,event,permutation%1:04:02::,act of changing the lineal order of objects in a group
deliver an oration in grandiloquent style,perorate%2:32:00::,event,peroration%1:10:01::,a flowery and highly rhetorical oration
conclude a speech with a formal recapitulation,perorate%2:32:01::,event,peroration%1:10:00::,(rhetoric) the concluding section of an oration
bleach with peroxide,peroxide%2:30:00::,by means of,peroxide%1:27:00::,a viscous liquid with strong oxidizing properties; a powerful bleaching agent; also used (in aqueous solutions) as a mild disinfectant and (in strong concentrations) as an oxidant in rocket fuels
"perform an act, usually with a negative connotation",perpetrate%2:41:00::,event,perpetration%1:04:00::,the act of committing a crime
"perform an act, usually with a negative connotation",perpetrate%2:41:00::,agent,perpetrator%1:18:00::,someone who perpetrates wrongdoing
cause to continue or prevail,perpetuate%2:42:00::,event,perpetuation%1:04:00::,the act of prolonging something
cause to suffer,persecute%2:41:00::,event,persecution%1:04:00::,the act of persecuting (especially on the basis of race or religion)
cause to suffer,persecute%2:41:00::,agent,persecutor%1:18:00::,someone who torments
repeat a response after the cessation of the original stimulus,perseverate%2:32:00::,event,perseveration%1:04:00::,the act of persisting or persevering; continuing or repeating behavior
"be persistent, refuse to stop",persevere%2:30:00::,event,perseverance%1:04:00::,the act of persisting or persevering; continuing or repeating behavior
"be persistent, refuse to stop",persevere%2:30:00::,event,perseveration%1:04:00::,the act of persisting or persevering; continuing or repeating behavior
"be persistent, refuse to stop",persevere%2:30:00::,event,perseveration%1:09:00::,the tendency for a memory or idea to persist or recur without any apparent stimulus for it
"be persistent, refuse to stop",persist%2:30:01::,event,persistence%1:04:00::,the act of persisting or persevering; continuing or repeating behavior
pretend to be someone you are not; sometimes with fraudulent intentions,personate%2:32:00::,event,personation%1:04:00::,imitating the mannerisms of another person
pretend to be someone you are not; sometimes with fraudulent intentions,personate%2:32:00::,event,personation%1:04:01::,acting the part of a character on stage; dramatically representing the character by speech and action and gesture
attribute human qualities to something,personify%2:31:00::,event,personification%1:04:00::,the act of attributing human characteristics to abstract ideas etc.
"represent, as of a character on stage",personify%2:42:00::,event,persona%1:09:00::,an actor's portrayal of someone in a play
invest with or as with a body; give body to,personify%2:42:01::,uses,person%1:08:00::,a human body (usually including the clothing)
invest with or as with a body; give body to,personify%2:42:01::,result,personification%1:10:00::,representing an abstract quality or idea as a person or creature
invest with or as with a body; give body to,personify%2:42:01::,event,personification%1:10:00::,representing an abstract quality or idea as a person or creature
invest with or as with a body; give body to,personify%2:42:01::,result,personification%1:18:00::,a person who represents an abstract quality
invest with or as with a body; give body to,personify%2:42:01::,agent,personification%1:18:00::,a person who represents an abstract quality
excrete perspiration through the pores in the skin,perspire%2:29:00::,result,perspiration%1:08:00::,salty fluid secreted by sweat glands
excrete perspiration through the pores in the skin,perspire%2:29:00::,event,perspiration%1:22:00::,the process of the sweat glands of the skin secreting a salty fluid
"cause somebody to adopt a certain position, belief, or course of action; twist somebody's arm",persuade%2:32:00::,agent,persuader%1:18:00::,someone who tries to persuade or induce or lead on
"cause somebody to adopt a certain position, belief, or course of action; twist somebody's arm",persuade%2:32:00::,event,persuasion%1:10:00::,the act of persuading (or attempting to persuade); communication intended to induce belief or action
be relevant to,pertain%2:42:01::,property,pertinence%1:24:00::,relevance by virtue of being applicable to the matter at hand
throw into great confusion or disorder,perturb%2:30:00::,event,perturbation%1:04:00::,the act of causing disorder
throw into great confusion or disorder,perturb%2:30:00::,state,perturbation%1:07:00::,a disposition that is confused or nervous and upset
disturb in mind or make uneasy or cause to be worried or alarmed,perturb%2:37:00::,state,perturbation%1:07:00::,a disposition that is confused or nervous and upset
disturb in mind or make uneasy or cause to be worried or alarmed,perturb%2:37:00::,state,perturbation%1:26:00::,an unhappy and worried mental state
"cause a celestial body to deviate from a theoretically regular orbital motion, especially as a result of interposed or extraordinary gravitational pull",perturb%2:38:00::,event,perturbation%1:19:00::,(physics) a secondary influence on a system that causes it to deviate slightly
disturb or interfere with the usual path of an electron or atom,perturb%2:38:01::,event,perturbation%1:04:00::,the act of causing disorder
disturb or interfere with the usual path of an electron or atom,perturb%2:38:01::,event,perturbation%1:19:00::,(physics) a secondary influence on a system that causes it to deviate slightly
examine or consider with attention and in detail,peruse%2:39:00::,event,perusal%1:10:00::,reading carefully with intent to remember
spread or diffuse through,pervade%2:35:00::,event,pervasion%1:22:00::,the process of permeating or infusing something with a substance
cause (a liquid) to evaporate through a semipermeable membrane,pervaporate%2:30:00::,event,pervaporation%1:04:00::,the concentration of a colloidal solution whose colloid will not pass through a semipermeable membrane; solution is placed in a bag of the membrane and the solvent is evaporated off
evaporate through a semipermeable membrane,pervaporate%2:30:01::,event,pervaporation%1:04:00::,the concentration of a colloidal solution whose colloid will not pass through a semipermeable membrane; solution is placed in a bag of the membrane and the solvent is evaporated off
change the inherent purpose or function of something,pervert%2:30:00::,event,perversion%1:04:00::,the action of perverting something (turning it to a wrong use)
corrupt morally or by intemperance or sensuality,pervert%2:41:00::,agent,pervert%1:18:00::,a person whose behavior deviates from what is acceptable especially in sexual behavior
annoy persistently,pester%2:37:00::,agent,pesterer%1:18:00::,a persistently annoying person
"grind, mash or pulverize in a mortar",pestle%2:30:00::,instrument,pestle%1:06:00::,a club-shaped hand tool for grinding and mixing substances in a mortar
"grind, mash or pulverize in a mortar",pestle%2:30:00::,instrument,pestle%1:06:01::,a heavy tool of stone or iron (usually with a flat base and a handle) that is used to grind and mix material (as grain or drugs or pigments) against a slab of stone
"grind, mash or pulverize in a mortar",pestle%2:30:00::,instrument,pestle%1:06:02::,machine consisting of a heavy bar that moves vertically for pounding or crushing ores
"stroke or caress in an erotic manner, as during lovemaking",pet%2:35:01::,agent,petter%1:18:00::,a lover who gently fondles and caresses the loved one
write a petition for something to somebody; request formally and in writing,petition%2:32:00::,result,petition%1:10:00::,a formal message requesting something that is submitted to an authority
write a petition for something to somebody; request formally and in writing,petition%2:32:00::,event,petition%1:10:00::,a formal message requesting something that is submitted to an authority
write a petition for something to somebody; request formally and in writing,petition%2:32:00::,agent,petitioner%1:18:01::,someone who petitions a court for redress of a grievance or recovery of a right
change into stone,petrify%2:30:00::,result,petrifaction%1:17:00::,a rock created by petrifaction; an organic object infiltrated with mineral matter and preserved in its original form
change into stone,petrify%2:30:00::,event,petrifaction%1:22:00::,the process of turning some plant material into stone by infiltration with water carrying mineral particles without changing the original shape
change into stone,petrify%2:30:00::,event,petrification%1:22:00::,the process of turning some plant material into stone by infiltration with water carrying mineral particles without changing the original shape
argue over petty things,pettifog%2:32:00::,agent,pettifogger%1:18:01::,a disputant who quibbles; someone who raises annoying petty objections
adjust so as to be in a synchronized condition,phase%2:30:00::,event,phase%1:28:01::,a particular point in the time of a cycle; measured from some arbitrary zero and expressed as an angle
arrange in phases or stages,phase%2:36:00::,event,phase%1:28:00::,any distinct time period in a sequence of events
have amorous affairs; of men,philander%2:41:00::,agent,philanderer%1:18:00::,a man who likes many women and has short sexual relationships with them
reason philosophically,philosophise%2:31:00::,agent,philosophiser%1:18:00::,someone who considers situations from a philosophical point of view
reason philosophically,philosophize%2:31:00::,agent,philosophizer%1:18:00::,someone who considers situations from a philosophical point of view
utter speech sounds,phonate%2:32:00::,event,phonation%1:10:00::,the sound made by the vibration of vocal folds modified by the resonance of the vocal tract
get or try to get into communication (with someone) by telephone,phone%2:32:00::,instrument,phone%1:06:00::,electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds
get or try to get into communication (with someone) by telephone,phone%2:32:00::,agent,phoner%1:18:00::,the person initiating a telephone call
to exhibit phosphorescence,phosphoresce%2:42:00::,event,phosphorescence%1:19:00::,a fluorescence that persists after the bombarding radiation has ceased
reproduce by xerography,photocopy%2:36:00::,instrument,photocopier%1:06:00::,a copier that uses photographic methods of making copies
reproduce by xerography,photocopy%2:36:00::,result,photocopy%1:06:00::,a photographic copy of written or printed or graphic work
record on photographic film,photograph%2:32:00::,result,photograph%1:06:00::,a representation of a person or scene in the form of a print or transparent slide or in digital format
record on photographic film,photograph%2:32:00::,agent,photographer%1:18:00::,someone who takes photographs professionally
undergo being photographed in a certain way,photograph%2:42:00::,result,photograph%1:06:00::,a representation of a person or scene in the form of a print or transparent slide or in digital format
make a copy by means of a Photostat device,photostat%2:36:00::,result,photostat%1:06:01::,a photocopy made on a Photostat machine
put into words or an expression,phrase%2:32:00::,result,phrase%1:10:00::,an expression consisting of one or more words forming a grammatical constituent of a sentence
put into words or an expression,phrase%2:32:00::,result,phrase%1:10:02::,an expression whose meanings cannot be inferred from the meanings of the words that make it up
select carefully from a group,pick%2:31:00::,event,pick%1:04:00::,the act of choosing or selecting
select carefully from a group,pick%2:31:00::,undergoer,pick%1:09:00::,the person or thing chosen or selected
select carefully from a group,pick%2:31:00::,undergoer,pick%1:14:00::,the best people or things in a group
select carefully from a group,pick%2:31:00::,agent,picker%1:18:01::,a person who chooses or selects out
look for and gather,pick%2:35:01::,undergoer,pick%1:23:00::,the quantity of a crop that is harvested
look for and gather,pick%2:35:01::,agent,picker%1:18:00::,someone who gathers crops or fruits etc.
"attack with or as if with a pickaxe of ice or rocky ground, for example",pick%2:35:02::,instrument,pick%1:06:00::,a heavy iron tool with a wooden handle and a curved head that is pointed on both ends
pull lightly but sharply with a plucking motion,pick%2:35:05::,instrument,pick%1:06:03::,a small thin device (of metal or plastic or ivory) used to pluck a stringed instrument
fasten with a picket,picket%2:35:00::,instrument,picket%1:06:00::,a wooden strip forming part of a fence
serve as pickets or post pickets,picket%2:41:00::,agent,picket%1:18:00::,a protester posted by a labor organization outside a place of work
preserve in a pickling liquid,pickle%2:30:00::,undergoer,pickle%1:13:00::,vegetables (especially cucumbers) preserved in brine or vinegar
"eat alfresco, in the open air",picnic%2:34:00::,agent,picknicker%1:18:00::,a person who is picnicking
"eat alfresco, in the open air",picnic%2:34:00::,event,picnic%1:13:00::,any informal meal eaten outside or on an excursion
"eat alfresco, in the open air",picnic%2:34:00::,agent,picnicker%1:18:00::,a person who is picnicking
"show in, or as in, a picture",picture%2:36:00::,by means of,picture%1:06:00::,a visual representation (of an object or scene or person or abstraction) produced on a surface
"show in, or as in, a picture",picture%2:36:00::,by means of,picture%1:06:01::,graphic art consisting of an artistic composition made by applying paints to a surface
"show in, or as in, a picture",picture%2:36:00::,by means of,picture%1:10:00::,illustrations used to decorate or explain a text
imagine; conceive of; see in one's mind,picture%2:36:01::,by means of,picture%1:09:00::,a clear and telling mental image
eliminate urine,piddle%2:29:00::,undergoer,piddle%1:27:00::,liquid excretory product
repair by adding pieces,piece%2:30:00::,undergoer,piece%1:06:00::,a separate part of a whole
to join or unite the pieces of,piece%2:35:02::,undergoer,piece%1:06:00::,a separate part of a whole
create by putting components or members together,piece%2:36:00::,undergoer,piece%1:06:00::,a separate part of a whole
act in a trivial or ineffective way,piffle%2:29:00::,event,piffle%1:10:00::,trivial nonsense
speak (about unimportant matters) rapidly and incessantly,piffle%2:32:00::,event,piffle%1:10:00::,trivial nonsense
eat greedily,pig%2:34:00::,agent,pig%1:18:00::,a person regarded as greedy and pig-like
"live like a pig, in squalor",pig%2:42:00::,agent,pig%1:18:00::,a person regarded as greedy and pig-like
treat or classify according to a mental stereotype,pigeonhole%2:31:00::,by means of,pigeonhole%1:09:00::,a specific (often simplistic) category
color or dye with a pigment,pigment%2:30:00::,by means of,pigment%1:27:00::,"dry coloring material (especially a powder to be mixed with a liquid to produce paint, etc.)"
acquire pigment; become colored or imbued,pigment%2:30:01::,undergoer,pigment%1:27:00::,"dry coloring material (especially a powder to be mixed with a liquid to produce paint, etc.)"
acquire pigment; become colored or imbued,pigment%2:30:01::,event,pigmentation%1:07:00::,coloration of living tissues by pigment
acquire pigment; become colored or imbued,pigment%2:30:01::,event,pigmentation%1:22:00::,the deposition of pigment in animals or plants or human beings
arrange in stacks,pile%2:35:00::,undergoer,pile%1:14:00::,a collection of objects laid on top of each other
place or lay as if in a pile,pile%2:35:03::,undergoer,pile%1:14:00::,a collection of objects laid on top of each other
press tightly together or cram,pile%2:38:00::,undergoer,pile%1:14:00::,a collection of objects laid on top of each other
press tightly together or cram,pile%2:38:00::,undergoer,pile%1:23:00::,(often followed by `of') a large number or amount or extent
make off with belongings of others,pilfer%2:40:00::,agent,pilferer%1:18:00::,a thief who steals without using violence
steal goods; take as spoils,pillage%2:40:00::,undergoer,pillage%1:21:00::,goods or money obtained illegally
steal goods; take as spoils,pillage%2:40:00::,agent,pillager%1:18:00::,someone who takes spoils or plunder (as in war)
operate an airplane,pilot%2:38:00::,agent,pilot%1:18:00::,someone who is licensed to operate an aircraft in flight
"act as the navigator in a car, plane, or vessel and plan, direct, plot the path and position of the conveyance",pilot%2:38:01::,agent,pilot%1:18:01::,a person qualified to guide ships through difficult waters going into or out of a harbor
arrange for sexual partners for others,pimp%2:34:00::,agent,pimp%1:18:00::,someone who procures customers for whores (in England they call a pimp a ponce)
attach or fasten with pins,pin%2:35:01::,instrument,pin%1:06:00::,a small slender (often pointed) piece of wood or metal used to support or fasten or attach things
pierce with a pin,pin%2:35:02::,instrument,pin%1:06:00::,a small slender (often pointed) piece of wood or metal used to support or fasten or attach things
"irritate as if by a nip, pinch, or tear",pinch%2:30:00::,event,pinch%1:04:00::,a squeeze with the fingers
"irritate as if by a nip, pinch, or tear",pinch%2:30:00::,event,pinch%1:04:03::,a small sharp bite or snip
squeeze tightly between the fingers,pinch%2:35:00::,event,pinch%1:04:00::,a squeeze with the fingers
make ridges into by pinching together,pinch%2:35:01::,event,pinch%1:04:00::,a squeeze with the fingers
hit with a pinging noise,ping%2:35:00::,event,ping%1:11:00::,a sharp high-pitched resonant sound (as of a sonar echo or a bullet striking metal)
make a short high-pitched sound,ping%2:39:00::,event,ping%1:11:00::,a sharp high-pitched resonant sound (as of a sonar echo or a bullet striking metal)
sound like a car engine that is firing too early,ping%2:39:01::,event,ping%1:11:00::,a sharp high-pitched resonant sound (as of a sonar echo or a bullet striking metal)
cut the wings off (of birds),pinion%2:30:00::,undergoer,pinion%1:05:01::,wing of a bird
cut the wings off (of birds),pinion%2:30:00::,undergoer,pinion%1:05:02::,any of the larger wing or tail feathers of a bird
make pink,pinkify%2:30:00::,result,pink%1:07:00::,a light shade of red
surmount with a pinnacle,pinnacle%2:42:00::,uses,pinnacle%1:06:00::,(architecture) a slender upright spire at the top of a buttress or tower
open up and explore a new area,pioneer%2:31:00::,agent,pioneer%1:18:00::,one of the first colonists or settlers in a new territory
open up an area or prepare a way,pioneer%2:36:00::,agent,pioneer%1:18:01::,someone who helps to open up a new line of research or technology or art
take the lead or initiative in; participate in the development of,pioneer%2:36:01::,agent,pioneer%1:18:01::,someone who helps to open up a new line of research or technology or art
play on a pipe,pipe%2:36:00::,agent,piper%1:18:00::,someone who plays the bagpipe
transport by pipeline,pipe%2:38:00::,by means of,pipe%1:06:00::,a long tube made of metal or plastic that is used to carry water or oil or gas etc.
cause to feel resentment or indignation,pique%2:37:00::,event,pique%1:12:00::,a sudden outburst of anger
copy illegally; of published material,pirate%2:40:00::,agent,pirate%1:18:01::,someone who uses another person's words or ideas as if they were his own
eliminate urine,piss%2:29:00::,undergoer,piss%1:27:00::,liquid excretory product
eliminate urine,piss%2:29:00::,agent,pisser%1:18:00::,a person who urinates
remove the pits from,pit%2:30:00::,undergoer,pit%1:20:00::,the hard inner (usually woody) layer of the pericarp of some fruits (as peaches or plums or cherries or olives) that contains the seed
mark with a scar,pit%2:35:00::,uses,pit%1:25:00::,a concavity in a surface (especially an anatomical depression)
set to a certain pitch,pitch%2:30:00::,property,pitch%1:07:00::,the property of sound that varies with variation in the frequency of vibration
lead (a card) and establish the trump suit,pitch%2:33:04::,event,pitch%1:04:01::,an all-fours game in which the first card led is a trump
throw or toss with a light motion,pitch%2:35:00::,event,pitch%1:04:00::,the action or manner of throwing something
hit (a golf ball) in a high arc with a backspin,pitch%2:35:04::,event,pitch%1:04:02::,a high approach shot in golf
"throw or hurl from the mound to the batter, as in baseball",pitch%2:35:13::,event,pitch%1:04:03::,"the act of throwing a baseball or softball by the pitcher towards home plate, which initiates play by giving the batter a chance to hit it"
"throw or hurl from the mound to the batter, as in baseball",pitch%2:35:13::,agent,pitcher%1:18:00::,(baseball) the person who does the pitching
be at an angle,pitch%2:38:01::,property,pitch%1:07:01::,degree of deviation from a horizontal plane
heel over,pitch%2:38:02::,property,pitch%1:07:01::,degree of deviation from a horizontal plane
move abruptly,pitch%2:38:03::,event,pitch%1:04:04::,abrupt up-and-down motion (as caused by a ship or other conveyance)
sell or offer for sale from place to place,pitch%2:40:00::,event,pitch%1:10:00::,promotion by means of an argument and demonstration
lift with a pitchfork,pitchfork%2:35:00::,instrument,pitchfork%1:06:00::,a long-handled hand tool with sharp widely spaced prongs for lifting and pitching hay
"make light, rapid and repeated sounds",pitter-patter%2:39:00::,event,pitter-patter%1:11:00::,a series of rapid tapping sounds
share the suffering of,pity%2:37:00::,state,pity%1:07:00::,the humane quality of understanding the suffering of others and wanting to do something about it
share the suffering of,pity%2:37:00::,state,pity%1:12:00::,a feeling of sympathy and sorrow for the misfortunes of others
turn on a pivot,pivot%2:38:00::,event,pivot%1:04:00::,the act of turning on (or as if on) a pivot
turn on a pivot,pivot%2:38:00::,by means of,pivot%1:06:00::,axis consisting of a short shaft that supports something that turns
publicize or announce by placards,placard%2:32:00::,by means of,placard%1:10:00::,a sign posted in a public place as an advertisement
post in a public place,placard%2:35:01::,undergoer,placard%1:10:00::,a sign posted in a public place as an advertisement
cause to be more favorably inclined; gain the good will of,placate%2:37:00::,event,placation%1:04:00::,the act of placating and overcoming distrust and animosity
assign a rank or rating to,place%2:31:01::,undergoer,place%1:10:02::,an item on a list or in a sequence
assign to a station,place%2:33:00::,event,place%1:04:00::,a job in an organization
put into a certain place or abstract location,place%2:35:00::,property,placement%1:07:00::,the spatial property of the way in which something is placed
locate,place%2:36:00::,location,place%1:15:00::,a point located with respect to surface features of some region
locate,place%2:36:00::,property,placement%1:07:00::,the spatial property of the way in which something is placed
assign a location to,place%2:40:00::,location,place%1:15:04::,any area set aside for a particular purpose
assign a location to,place%2:40:00::,property,placement%1:07:00::,the spatial property of the way in which something is placed
assign to (a job or a home),place%2:41:00::,event,place%1:04:00::,a job in an organization
assign to (a job or a home),place%2:41:00::,location,place%1:15:06::,where you live at a particular time
identify the location or place of,place%2:42:00::,property,placement%1:07:00::,the spatial property of the way in which something is placed
"kick (a ball) from a stationary position, in football",place-kick%2:35:00::,agent,place-kicker%1:18:00::,(football) a kicker who makes a place kick for a goal
take without referencing from someone else's writing or speech; of intellectual property,plagiarise%2:40:00::,event,plagiarisation%1:04:00::,the act of plagiarizing; taking someone's words or ideas as if they were your own
take without referencing from someone else's writing or speech; of intellectual property,plagiarise%2:40:00::,agent,plagiariser%1:18:00::,someone who uses another person's words or ideas as if they were his own
take without referencing from someone else's writing or speech; of intellectual property,plagiarize%2:40:00::,event,plagiarization%1:04:00::,the act of plagiarizing; taking someone's words or ideas as if they were your own
take without referencing from someone else's writing or speech; of intellectual property,plagiarize%2:40:00::,agent,plagiarizer%1:18:00::,someone who uses another person's words or ideas as if they were his own
annoy continually or chronically,plague%2:37:00::,event,plague%1:09:00::,an annoyance
cause to suffer a blight,plague%2:43:00::,event,plague%1:14:00::,a swarm of insects that attack plants
cause to suffer a blight,plague%2:43:00::,event,plague%1:26:00::,a serious (sometimes fatal) infection of rodents caused by Yersinia pestis and accidentally transmitted to humans by the bite of a flea that has bitten an infected animal
cause to suffer a blight,plague%2:43:00::,event,plague%1:26:01::,any epidemic disease with a high death rate
weave into plaits,plait%2:35:00::,result,plait%1:08:00::,a hairdo formed by braiding or twisting the hair
weave into plaits,plait%2:35:00::,agent,plaiter%1:18:00::,someone who plaits (hair or fabric etc.)
make by braiding or interlacing,plait%2:36:00::,result,plait%1:06:00::,any of various types of fold formed by doubling fabric back upon itself and then pressing or stitching into shape
make by braiding or interlacing,plait%2:36:00::,agent,plaiter%1:18:00::,someone who plaits (hair or fabric etc.)
make plans for something,plan%2:31:00::,result,plan%1:09:00::,a series of steps to be carried out or goals to be accomplished
make plans for something,plan%2:31:00::,result,plan%1:09:01::,an arrangement scheme
make plans for something,plan%2:31:00::,instrument,planner%1:06:00::,"a notebook for recording appointments and things to be done, etc."
make plans for something,plan%2:31:00::,agent,planner%1:18:00::,a person who makes plans
make or work out a plan for; devise,plan%2:36:00::,result,plan%1:09:00::,a series of steps to be carried out or goals to be accomplished
make or work out a plan for; devise,plan%2:36:00::,result,plan%1:09:01::,an arrangement scheme
make or work out a plan for; devise,plan%2:36:00::,agent,planner%1:18:00::,a person who makes plans
cut or remove with or as if with a plane,plane%2:35:00::,instrument,plane%1:06:00::,a carpenter's hand tool with an adjustable blade for smoothing or shaping wood
cut or remove with or as if with a plane,plane%2:35:00::,instrument,plane%1:06:02::,a power tool for smoothing or shaping wood
cut or remove with or as if with a plane,plane%2:35:00::,instrument,planer%1:06:00::,a power tool for smoothing or shaping wood
"make even or smooth, with or as with a carpenter's plane",plane%2:35:03::,event,planation%1:22:00::,the process of erosion whereby a level surface is produced
"make even or smooth, with or as with a carpenter's plane",plane%2:35:03::,instrument,plane%1:06:00::,a carpenter's hand tool with an adjustable blade for smoothing or shaping wood
"make even or smooth, with or as with a carpenter's plane",plane%2:35:03::,instrument,plane%1:06:02::,a power tool for smoothing or shaping wood
"make even or smooth, with or as with a carpenter's plane",plane%2:35:03::,instrument,planer%1:06:00::,a power tool for smoothing or shaping wood
cover with planks,plank%2:35:00::,uses,plank%1:27:00::,a stout length of sawn timber; made in a wide variety of sizes and used for many purposes
"put or set (seeds, seedlings, or plants) into the ground",plant%2:35:00::,undergoer,plant%1:03:00::,(botany) a living organism lacking the power of locomotion
"put or set (seeds, seedlings, or plants) into the ground",plant%2:35:00::,location,planter%1:06:00::,a decorative pot for house plants
place something or someone in a certain position in order to secretly observe or deceive,plant%2:35:06::,undergoer,plant%1:09:00::,something planted secretly for discovery by another
dash a liquid upon or against,plash%2:35:00::,event,plash%1:11:00::,the sound like water splashing
dress by covering with a therapeutic substance,plaster%2:29:00::,uses,plaster%1:06:02::,a medical dressing consisting of a soft heated mass of meal or clay that is spread on a cloth and applied to the skin to treat inflamed areas or improve circulation etc.
dress by covering with a therapeutic substance,plaster%2:29:00::,material,plaster%1:06:02::,a medical dressing consisting of a soft heated mass of meal or clay that is spread on a cloth and applied to the skin to treat inflamed areas or improve circulation etc.
coat with plaster,plaster%2:35:00::,uses,plaster%1:06:01::,a surface of hardened plaster (as on a wall or ceiling)
coat with plaster,plaster%2:35:00::,material,plaster%1:06:01::,a surface of hardened plaster (as on a wall or ceiling)
coat with plaster,plaster%2:35:00::,uses,plaster%1:27:00::,a mixture of lime or gypsum with sand and water; hardens into a smooth solid; used to cover walls and ceilings
coat with plaster,plaster%2:35:00::,material,plaster%1:27:00::,a mixture of lime or gypsum with sand and water; hardens into a smooth solid; used to cover walls and ceilings
coat with plaster,plaster%2:35:00::,agent,plasterer%1:18:00::,a worker skilled in applying plaster
apply a plaster cast to,plaster%2:35:02::,uses,plaster%1:27:00::,a mixture of lime or gypsum with sand and water; hardens into a smooth solid; used to cover walls and ceilings
apply a plaster cast to,plaster%2:35:02::,material,plaster%1:27:00::,a mixture of lime or gypsum with sand and water; hardens into a smooth solid; used to cover walls and ceilings
apply a plaster cast to,plaster%2:35:02::,uses,plaster%1:27:01::,any of several gypsum cements; a white powder (a form of calcium sulphate) that forms a paste when mixed with water and hardens into a solid; used in making molds and sculptures and casts for broken limbs
apply a plaster cast to,plaster%2:35:02::,material,plaster%1:27:01::,any of several gypsum cements; a white powder (a form of calcium sulphate) that forms a paste when mixed with water and hardens into a solid; used in making molds and sculptures and casts for broken limbs
"make plastic, as by the addition of a plasticizer",plasticise%2:30:00::,material,plasticiser%1:27:00::,a substance added to plastics or other materials to make them more pliable
"make plastic, as by the addition of a plasticizer",plasticize%2:30:00::,material,plasticizer%1:27:00::,a substance added to plastics or other materials to make them more pliable
"preserve (tissue) with plastics, as for teaching and research purposes",plastinate%2:40:00::,event,plastination%1:22:00::,a process involving fixation and dehydration and forced impregnation and hardening of biological tissues; water and lipids are replaced by curable polymers (silicone or epoxy or polyester) that are subsequently hardened
coat with a layer of metal,plate%2:35:00::,uses,plate%1:06:02::,a sheet of metal or wood or glass or plastic
coat with a layer of metal,plate%2:35:00::,agent,plater%1:18:00::,a skilled worker who coats articles with a film of metal (usually silver or gold)
participate in games or sport,play%2:33:00::,agent,player%1:18:01::,a person who participates in or is skilled at some game
bet or wager (money),play%2:33:01::,event,play%1:04:02::,the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize)
"put (a card or piece) into play during a game, or act strategically as if in a card game",play%2:33:03::,event,play%1:04:02::,the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize)
make bets,play%2:33:07::,event,play%1:04:02::,the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize)
stake on the outcome of an issue,play%2:33:08::,event,play%1:04:02::,the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize)
shoot or hit in a particular manner,play%2:33:09::,event,play%1:04:04::,a deliberate coordinated movement requiring dexterity and skill
use to one's advantage,play%2:34:13::,event,play%1:04:04::,a deliberate coordinated movement requiring dexterity and skill
play a role or part,play%2:36:02::,event,play%1:10:01::,a dramatic work intended for performance by actors on a stage
play a role or part,play%2:36:02::,event,play%1:10:03::,a theatrical performance of a drama
play a role or part,play%2:36:02::,agent,player%1:18:00::,a theatrical performer
perform on a certain location,play%2:36:03::,event,play%1:10:01::,a dramatic work intended for performance by actors on a stage
perform on a certain location,play%2:36:03::,event,play%1:10:03::,a theatrical performance of a drama
be performed or presented for public viewing,play%2:36:04::,event,play%1:10:01::,a dramatic work intended for performance by actors on a stage
be performed or presented for public viewing,play%2:36:04::,event,play%1:10:03::,a theatrical performance of a drama
perform on a stage or theater,play%2:36:10::,event,play%1:10:01::,a dramatic work intended for performance by actors on a stage
perform on a stage or theater,play%2:36:10::,event,play%1:10:03::,a theatrical performance of a drama
perform on a stage or theater,play%2:36:10::,agent,player%1:18:00::,a theatrical performer
play on an instrument,play%2:36:12::,agent,player%1:18:02::,someone who plays a music as a profession
"move or seem to move quickly, lightly, or irregularly",play%2:38:00::,event,play%1:11:00::,a weak and tremulous light
cause to move or operate freely within a bounded space,play%2:38:03::,location,play%1:07:00::,movement or space for movement
engage in recreational activities rather than work; occupy oneself in a diversion,play%2:41:00::,event,play%1:04:00::,gay or light-hearted recreational activity for diversion or amusement
be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,play%2:41:03::,event,play%1:04:00::,gay or light-hearted recreational activity for diversion or amusement
